مرتبة,اسم,صناعة,إيرادات(بملايين الدولارات الأمريكية),ربح(بملايين الدولارات الأمريكية),الموظفين,الدولة
1,وول مارت,تجارة التجزئة,"$514,405","$6,670 ",2200000,الولايات المتحدة
2,شركة الصين للبتروكيماويات,صناعة نفطية,"$414,649","$5,845 ",619151,الصين
3,رويال داتش شل,صناعة نفطية,"$396,556","$23,352 ",81000,هولندا / المملكة المتحدة
4,مؤسسة البترول الوطنية الصينية,صناعة نفطية,"$392,976","$2,270 ",1382401,الصين
5,مؤسسة الشبكة الحكومية الصينية,كهرباء,"$387,056","$8,174 ",917717,الصين
6,أرامكو السعودية,النفط والغاز,"$355,905","$110,974 ",76418,السعودية
7,بي بي,النفط والغاز,"$303,738","$9,383 ",73000,المملكة المتحدة
8,إكسون موبيل,النفط والغاز,"$290,212","$20,840 ",71000,الولايات المتحدة
9,مجموعة فولكسفاغن,صناعة المركبات,"$278,341","$14,332 ",664496,ألمانيا
10,تويوتا,صناعة المركبات,"$272,612","$16,982 ",370870,اليابان
